=== HISTORICAL AUDIT: CBE & E-BIRR ===

--- Account: CBE (c8306c05-5279-4b05-b5fc-dda41c793a77) ---
Current DB Balance: 143,148.69 ETB
Date       | Type            | Amount    | Running Bal
2026-01-20 | EXPENSE         |     -4000 | 9,653,537.75
2026-01-20 | EXPENSE         |     -1500 | 9,655,037.75
2026-01-20 | EXPENSE         |     -4330 | 9,659,367.75
2026-01-20 | EXPENSE         |    -20000 | 9,679,367.75
2026-01-20 | EXPENSE         |     -1300 | 9,680,667.75
2026-01-20 | EXPENSE         |     -2500 | 9,683,167.75
2026-01-20 | EXPENSE         |    -20000 | 9,703,167.75
2026-01-20 | INCOME          |     12000 | 9,715,167.75
2026-01-21 | EXPENSE         |     -4000 | 9,719,167.75
2026-01-21 | EXPENSE         |     -3500 | 9,722,667.75
2026-01-21 | INCOME          |    300000 | 10,022,667.75
2026-01-22 | EXPENSE         |     -2000 | 10,024,667.75
2026-01-22 | EXPENSE         |     -5000 | 10,029,667.75
2026-01-22 | EXPENSE         |    -10000 | 10,039,667.75
2026-01-22 | INCOME          |   1074000 | 11,113,667.75
2026-01-23 | EXPENSE         |     -3000 | 11,116,667.75
2026-01-23 | EXPENSE         |     -5000 | 11,121,667.75
2026-01-23 | EXPENSE         |    -11350 | 11,133,017.75
2026-01-24 | EXPENSE         |     -5000 | 11,138,017.75
2026-01-24 | EXPENSE         |     -1000 | 11,139,017.75
2026-01-25 | EXPENSE         |     -1500 | 11,140,517.75
2026-01-25 | EXPENSE         |     -2000 | 11,142,517.75
2026-01-25 | EXPENSE         |     -4000 | 11,146,517.75
2026-01-25 | EXPENSE         |     -5000 | 11,151,517.75
2026-01-26 | EXPENSE         |     -3500 | 11,155,017.75
2026-01-26 | EXPENSE         |     -5000 | 11,160,017.75
2026-01-26 | EXPENSE         |     -9750 | 11,169,767.75
2026-01-26 | EXPENSE         |      -500 | 11,170,267.75
2026-01-26 | EXPENSE         |      -300 | 11,170,567.75
2026-01-26 | EXPENSE         |     -1000 | 11,171,567.75
2026-01-26 | EXPENSE         |     -3000 | 11,174,567.75
2026-01-26 | EXPENSE         |     -2000 | 11,176,567.75
2026-01-27 | EXPENSE         |     -2000 | 11,178,567.75
2026-01-27 | EXPENSE         |     -2000 | 11,180,567.75
2026-01-27 | EXPENSE         |     -6000 | 11,186,567.75
2026-01-28 | DEBT_REPAID     |     40980 | 11,227,547.75
2026-01-28 | EXPENSE         |      -980 | 11,228,527.75
2026-01-28 | EXPENSE         |     -2000 | 11,230,527.75
2026-01-28 | EXPENSE         |     -1200 | 11,231,727.75
2026-01-29 | EXPENSE         |     -2000 | 11,233,727.75
2026-01-29 | DEBT_GIVEN      |      2500 | 11,231,227.75
2026-01-29 | EXPENSE         |     -3000 | 11,234,227.75
2026-01-29 | EXPENSE         |     -3000 | 11,237,227.75
2026-01-30 | EXPENSE         |     -5000 | 11,242,227.75
2026-01-31 | EXPENSE         |      -530 | 11,242,757.75
2026-01-31 | EXPENSE         |     -1000 | 11,243,757.75
2026-01-31 | EXPENSE         |    -11350 | 11,255,107.75
2026-01-31 | EXPENSE         |    -51201 | 11,306,308.75
2026-01-31 | EXPENSE         |     -7000 | 11,313,308.75
2026-01-31 | INCOME          |     40000 | 11,353,308.75
2026-02-01 | TRANSFER_OUT    |    -10000 | 11,343,308.75
2026-02-01 | TRANSFER_OUT    |     -5300 | 11,338,008.75
2026-02-01 | EXPENSE         |    -25000 | 11,363,008.75
2026-02-01 | TRANSFER_IN     |      5300 | 11,368,308.75
2026-02-01 | TRANSFER_IN     |     20000 | 11,388,308.75
2026-02-01 | EXPENSE         |     -1264 | 11,389,572.75
2026-02-01 | TRANSFER_OUT    |     -5000 | 11,384,572.75
2026-02-01 | TRANSFER_IN     |     10000 | 11,394,572.75
2026-02-01 | TRANSFER_IN     |      5000 | 11,399,572.75
2026-02-01 | EXPENSE         |     -1800 | 11,401,372.75
2026-02-01 | TRANSFER_OUT    |    -20000 | 11,381,372.75
2026-02-02 | EXPENSE         |     -1400 | 11,382,772.75
2026-02-02 | DEBT_REPAID     |      7000 | 11,389,772.75
2026-02-02 | EXPENSE         |    -10000 | 11,399,772.75
2026-02-02 | DEBT_REPAID     |     66000 | 11,465,772.75
2026-02-02 | EXPENSE         |     -2000 | 11,467,772.75
2026-02-02 | EXPENSE         |     -7000 | 11,474,772.75
2026-02-02 | EXPENSE         |    -66100 | 11,540,872.75
2026-02-03 | INCOME          |    300000 | 11,840,872.75
2026-02-03 | EXPENSE         |     -2700 | 11,843,572.75
2026-02-04 | EXPENSE         |     -1600 | 11,845,172.75
2026-02-04 | EXPENSE         |     -1400 | 11,846,572.75
2026-02-04 | EXPENSE         |     -5000 | 11,851,572.75
2026-02-04 | EXPENSE         |      -700 | 11,852,272.75
2026-02-04 | EXPENSE         |     -2000 | 11,854,272.75
2026-02-04 | EXPENSE         |     -6000 | 11,860,272.75
2026-02-04 | EXPENSE         |    -58600 | 11,918,872.75
2026-02-04 | EXPENSE         |     -2700 | 11,921,572.75
2026-02-05 | EXPENSE         |     -2600 | 11,924,172.75
2026-02-05 | EXPENSE         |     -1000 | 11,925,172.75
2026-02-05 | EXPENSE         |    -35900 | 11,961,072.75
2026-02-05 | EXPENSE         |    -55000 | 12,016,072.75
2026-02-05 | EXPENSE         |    -15000 | 12,031,072.75
2026-02-05 | EXPENSE         |     -3400 | 12,034,472.75
2026-02-05 | EXPENSE         |      -700 | 12,035,172.75
2026-02-05 | EXPENSE         |     -5000 | 12,040,172.75
2026-02-06 | EXPENSE         |     -6500 | 12,046,672.75
2026-02-06 | EXPENSE         |      -180 | 12,046,852.75
2026-02-06 | DEBT_GIVEN      |     16200 | 12,030,652.75
2026-02-07 | EXPENSE         |     -5000 | 12,035,652.75
2026-02-07 | EXPENSE         |      -500 | 12,036,152.75
2026-02-07 | EXPENSE         |     -3000 | 12,039,152.75
2026-02-07 | EXPENSE         |     -1000 | 12,040,152.75
2026-02-07 | EXPENSE         |      -225 | 12,040,377.75
2026-02-07 | EXPENSE         |     -1000 | 12,041,377.75
2026-02-07 | EXPENSE         |     -1000 | 12,042,377.75
2026-02-07 | DEBT_REPAID     |    -29000 | 12,071,377.75
2026-02-07 | EXPENSE         |    -20000 | 12,091,377.75
2026-02-07 | EXPENSE         |     -1000 | 12,092,377.75
2026-02-07 | EXPENSE         |     -1200 | 12,093,577.75
2026-02-07 | EXPENSE         |     -6000 | 12,099,577.75
2026-02-08 | EXPENSE         |     -2000 | 12,101,577.75
2026-02-09 | EXPENSE         |     -1000 | 12,102,577.75
2026-02-09 | EXPENSE         |     -2700 | 12,105,277.75
2026-02-09 | DEBT_REPAID     |     20000 | 12,125,277.75
2026-02-09 | DEBT_GIVEN      |      3000 | 12,122,277.75
2026-02-09 | EXPENSE         |     -1000 | 12,123,277.75
2026-02-10 | EXPENSE         |     -8400 | 12,131,677.75
2026-02-10 | EXPENSE         |     -1000 | 12,132,677.75
2026-02-10 | EXPENSE         |     -1000 | 12,133,677.75
2026-02-10 | EXPENSE         |     -3600 | 12,137,277.75
2026-02-10 | EXPENSE         |     -3600 | 12,140,877.75
2026-02-10 | EXPENSE         |     -3000 | 12,143,877.75
2026-02-10 | EXPENSE         |    -59750 | 12,203,627.75
2026-02-10 | EXPENSE         |      -700 | 12,204,327.75
2026-02-10 | DEBT_GIVEN      |      5000 | 12,199,327.75
2026-02-10 | EXPENSE         |     -1200 | 12,200,527.75
2026-02-10 | EXPENSE         |     -1000 | 12,201,527.75
2026-02-10 | EXPENSE         |     -1500 | 12,203,027.75
2026-02-11 | EXPENSE         |     -3000 | 12,206,027.75
2026-02-11 | EXPENSE         |     -1000 | 12,207,027.75
2026-02-11 | EXPENSE         |     -6000 | 12,213,027.75
2026-02-11 | EXPENSE         |     -1000 | 12,214,027.75
2026-02-12 | EXPENSE         |      -200 | 12,214,227.75
2026-02-12 | EXPENSE         |     -6000 | 12,220,227.75
2026-02-12 | EXPENSE         |     -3000 | 12,223,227.75
2026-02-12 | EXPENSE         |    -16100 | 12,239,327.75
2026-02-12 | EXPENSE         |     -4000 | 12,243,327.75
2026-02-12 | EXPENSE         |     -1200 | 12,244,527.75
2026-02-12 | EXPENSE         |     -5000 | 12,249,527.75
2026-02-12 | EXPENSE         |     -8000 | 12,257,527.75
2026-02-12 | EXPENSE         |     -1900 | 12,259,427.75
2026-02-13 | EXPENSE         |     -1200 | 12,260,627.75
2026-02-13 | EXPENSE         |     -3750 | 12,264,377.75
2026-02-13 | EXPENSE         |    -25000 | 12,289,377.75
2026-02-13 | EXPENSE         |      -300 | 12,289,677.75
2026-02-13 | EXPENSE         |     -1600 | 12,291,277.75
2026-02-13 | EXPENSE         |     -5000 | 12,296,277.75
2026-02-13 | EXPENSE         |    -10000 | 12,306,277.75
2026-02-13 | DEBT_REPAID     |    100000 | 12,406,277.75
2026-02-13 | EXPENSE         |     -1000 | 12,407,277.75
2026-02-13 | EXPENSE         |     -1000 | 12,408,277.75
2026-02-13 | EXPENSE         |     -5000 | 12,413,277.75
2026-02-14 | EXPENSE         |     -5400 | 12,418,677.75
2026-02-14 | EXPENSE         |     -1500 | 12,420,177.75
2026-02-14 | DEBT_REPAID     |    100000 | 12,520,177.75
2026-02-14 | EXPENSE         |     -7000 | 12,527,177.75
2026-02-14 | DEBT_GIVEN      |      6000 | 12,521,177.75
2026-02-14 | EXPENSE         |     -1000 | 12,522,177.75
2026-02-14 | EXPENSE         |     -3000 | 12,525,177.75
2026-02-14 | EXPENSE         |    -10000 | 12,535,177.75
2026-02-14 | EXPENSE         |     -2000 | 12,537,177.75
2026-02-14 | DEBT_GIVEN      |      7000 | 12,530,177.75
2026-02-15 | EXPENSE         |     -4000 | 12,534,177.75
2026-02-15 | EXPENSE         |     -1000 | 12,535,177.75
2026-02-15 | EXPENSE         |     -5000 | 12,540,177.75
2026-02-16 | EXPENSE         |    -20000 | 12,560,177.75
2026-02-18 | EXPENSE         |     -5000 | 12,565,177.75
2026-02-18 | DEBT_GIVEN      |     10000 | 12,555,177.75
2026-02-18 | DEBT_GIVEN      |      4000 | 12,551,177.75
2026-02-18 | DEBT_GIVEN      |      6000 | 12,545,177.75
2026-02-19 | EXPENSE         |     -2105 | 12,547,282.75
2026-02-20 | EXPENSE         |     -3000 | 12,550,282.75
2026-02-20 | EXPENSE         |     -2000 | 12,552,282.75
2026-02-21 | EXPENSE         |     -7200 | 12,559,482.75
2026-02-21 | DEBT_REPAID     |     50000 | 12,609,482.75
2026-02-21 | EXPENSE         |     -3000 | 12,612,482.75
2026-02-21 | EXPENSE         |     -5000 | 12,617,482.75
2026-02-21 | EXPENSE         |       -80 | 12,617,562.75
2026-02-22 | EXPENSE         |     -2000 | 12,619,562.75
2026-02-23 | EXPENSE         |      -200 | 12,619,762.75
2026-02-23 | EXPENSE         |    -16800 | 12,636,562.75
2026-02-23 | EXPENSE         |      -150 | 12,636,712.75
2026-02-23 | EXPENSE         |     -1000 | 12,637,712.75
2026-02-24 | EXPENSE         |      -300 | 12,638,012.75
2026-02-24 | EXPENSE         |     -4000 | 12,642,012.75
2026-02-24 | EXPENSE         |   -121000 | 12,763,012.75
2026-02-24 | DEBT_REPAID     |    200000 | 12,963,012.75
2026-02-24 | EXPENSE         |    -10000 | 12,973,012.75
2026-02-25 | EXPENSE         |     -1000 | 12,974,012.75
2026-02-25 | EXPENSE         |     -3000 | 12,977,012.75
2026-02-25 | EXPENSE         |     -5000 | 12,982,012.75
2026-02-25 | EXPENSE         |     -5800 | 12,987,812.75
2026-02-25 | EXPENSE         |    -20000 | 13,007,812.75
2026-02-26 | EXPENSE         |     -5000 | 13,012,812.75
2026-02-26 | EXPENSE         |     -3000 | 13,015,812.75

Final Calculated Running Balance: 13,015,812.75 ETB
Difference (DB - Calculated): -13,122,683.29 ETB
